Alkalinity,DIC,Carbonate,Bicarbonate,pCO2,pH,Temp
2321.34753,2019.05574,209.14416389528085,1800.573929820851,213.62545214937995,8.27843053378501,10
2321.34753,2029.8126195,202.23583848020132,1817.7352113048255,225.15414659184893,8.259723241308153,10
2321.34753,2040.569499,195.35297219264623,1834.835613785429,237.49317232795204,8.240618603403462,10
2321.34753,2051.3263785,188.49790381729935,1851.8693612762593,250.72116520970488,8.221091919904794,10
2321.34753,2062.0832579999997,181.67325426286328,1868.829969651545,264.92650741263395,8.20111694690771,10
2321.34753,2072.8401375,174.8819677603897,1885.7101438275922,280.2087371752935,8.18066583534342,10
2321.34753,2083.597017,168.1273593518963,1902.5016592047295,296.6801747164287,8.15970908903816,10
2321.34753,2094.3538965,161.41316951198542,1919.1952252597232,314.46779332382346,8.138215552265143,10
2321.34753,2105.1107759999995,154.74362675643823,1935.7803291486891,333.7153650350001,8.116152440257299,10
2321.34753,2115.8676554999997,148.12351903370035,1952.2450573234305,354.5859083904997,8.093485430599612,10
2321.34753,2126.624535,141.55827452205352,1968.5758935937608,377.2644598702931,8.070178839045036,10
2321.34753,2137.3814144999997,135.0540520999779,1984.7574929523873,401.9611785296514,8.04619591024243,10
2321.34753,2148.1382939999994,128.61784112490358,2000.7724320542088,428.9147717757496,8.021499262160063,10
2321.34753,2158.8951734999996,122.25756911624433,2016.6009398329666,458.39619472656193,7.996051532417072,10
2321.34753,2169.652053,115.98221432486059,2032.2206157637142,490.71252041557733,7.969816284622859,10
2321.34753,2180.4089324999995,109.80191778241371,2047.6061492406905,526.2107963778487,7.9427592417108555,10
2321.34753,2191.1658119999993,103.72808605323563,2062.729061955668,565.2815877405941,7.9148499184534975,10
2321.34753,2201.9226914999995,97.77347140507705,2077.557506416344,608.3617525572179,7.886063722421761,10
2321.34753,2212.6795709999997,91.95221049542658,2092.0561677859064,655.935802448281,7.856384574965479,10
2321.34753,2223.4364504999994,86.27979633491252,2106.186332064106,708.5349841816218,7.825808062491095,10
2321.34753,2234.193329999999,80.77295229476657,2119.906198634418,766.7330116998486,7.794345053465873,10
2321.34753,2244.9502094999993,75.44937328928386,2133.1715243368258,831.1372523013025,7.762025600392435,10
2417.687397,2019.05574,276.04131136788453,1736.4347586287795,150.52883100579663,8.41471135261741,10
2417.687397,2029.8126195,268.88960349124955,1754.0307560284855,157.6802236725248,8.39893254783796,10
2417.687397,2040.569499,261.75160952409817,1771.5951680216463,165.2404781149323,8.382920615110013,10
2417.687397,2051.3263785,254.62833092842976,1789.1256014757498,173.2414327892511,8.36666163433215,10
2417.687397,2062.0832579999997,247.52086245980158,1806.6194278494968,181.71817744537478,8.350140874754347,10
2417.687397,2072.8401375,240.43040426800312,1824.073753400735,190.70945786819766,8.3333427336847,10
2417.687397,2083.597017,233.35827570696452,1841.4853851445775,200.25813874202663,8.316250671998489,10
2417.687397,2094.3538965,226.30593112354958,1858.8507918935966,210.41173375407277,8.298847146836469,10
2417.687397,2105.1107759999995,219.2749779373515,1876.1660596064385,221.22301349567613,8.281113542139675,10
2417.687397,2115.8676554999997,212.26719737164717,1893.4268401519173,232.7507033507751,8.263030098023957,10
2417.687397,2126.624535,205.2845682491637,1910.628292462705,245.06028537750166,8.244575840479882,10
2417.687397,2137.3814144999997,198.32929432451138,1927.7650149080275,258.22492016909246,8.225728513532122,10
2417.687397,2148.1382939999994,191.40383568666485,1944.8309675618118,272.32650677110314,8.206464516858762,10
2417.687397,2158.8951734999996,184.51094482637734,1961.819382889541,287.4569008304485,8.186758853019427,10
2417.687397,2169.652053,177.65370801982647,1978.7226632364532,303.7193130771195,8.166585089953545,10
2417.687397,2180.4089324999995,170.83559272196075,1995.5322633940161,321.22991169444674,8.145915346384625,10
2417.687397,2191.1658119999993,164.0605016772903,2012.238556484852,340.11965264656635,8.124720310320503,10
2417.687397,2201.9226914999995,157.33283442051842,2028.8306814920577,360.53636087939276,8.102969304103066,10
2417.687397,2212.6795709999997,150.65755672258527,2045.296371046057,382.6470814128723,8.080630413567848,10
2417.687397,2223.4364504999994,144.04027829283845,2061.6217586861862,406.6407111252719,8.057670703937228,10
2417.687397,2234.193329999999,137.48733860931276,2077.791165897981,432.730907272275,8.034056551138548,10
2417.687397,2244.9502094999993,131.00590002680428,2093.786871013141,461.1592444491885,8.009754124216489,10
